code,category,value,areaName,avgPerReg,avgPerCat,popDensity,pop
E12000007,detached,208078,London,6.07723963,3.61670109,5597.6,8799728
E12000007,semiDetached,636084,London,18.5778165,8.14429894,5597.6,8799728
E12000007,terraced,727673,London,21.2528148,12.6784072,5597.6,8799728
E12000007,flats,1380137,London,40.3090345,33.446272,5597.6,8799728
E12000007,sharedHouse,378564,London,11.0565468,44.7684732,5597.6,8799728
E12000007,conversion,41112,London,1.20073951,21.0241016,5597.6,8799728
E12000007,commercial,47836,London,1.39712432,22.9477684,5597.6,8799728
E12000007,caravan,4406,London,0.12868404,4.22585193,5597.6,8799728
