code,category,value,areaName,avgPerReg,avgPerCat,popDensity,pop
W92000004,1,384395,Wales,28.53472574,100,149.9,3107494
W92000004,2,431871,Wales,32.05900322,100,149.9,3107494
W92000004,3,358035,Wales,26.57794855,100,149.9,3107494
W92000004,4,126662,Wales,9.402477743,100,149.9,3107494
W92000004,5,24451,Wales,1.815066739,100,149.9,3107494
W92000004,6,6842,Wales,0.50790097,100,149.9,3107494
W92000004,7,10489,Wales,0.778628074,100,149.9,3107494
W92000004,8,4368,Wales,0.324248968,100,149.9,3107494
