region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
West Midlands Region,E12000005,2007-03,9816,monthly,6.48,01/03/2007
London,E12000007,2007-04,12568,monthly,13.58,01/04/2007
North East,E12000001,2007-04,4734,monthly,7,01/04/2007
South East,E12000008,2007-04,15898,monthly,9.87,01/04/2007
South West,E12000009,2007-04,10207,monthly,9.44,01/04/2007
West Midlands Region,E12000005,2007-04,8414,monthly,7.57,01/04/2007
London,E12000007,2007-05,14059,monthly,14.19,01/05/2007
North East,E12000001,2007-05,5560,monthly,7,01/05/2007
South East,E12000008,2007-05,18656,monthly,10.36,01/05/2007
South West,E12000009,2007-05,11573,monthly,10.05,01/05/2007
West Midlands Region,E12000005,2007-05,9436,monthly,5.2,01/05/2007
London,E12000007,2007-06,15799,monthly,13.74,01/06/2007
North East,E12000001,2007-06,6406,monthly,6.64,01/06/2007
South East,E12000008,2007-06,21237,monthly,10.56,01/06/2007
South West,E12000009,2007-06,12697,monthly,9.52,01/06/2007
West Midlands Region,E12000005,2007-06,11228,monthly,5.95,01/06/2007
London,E12000007,2007-07,16037,monthly,16.47,01/07/2007
North East,E12000001,2007-07,5765,monthly,7,01/07/2007
South East,E12000008,2007-07,20581,monthly,11.37,01/07/2007
South West,E12000009,2007-07,12180,monthly,9.84,01/07/2007
West Midlands Region,E12000005,2007-07,10099,monthly,6.75,01/07/2007
London,E12000007,2007-08,16824,monthly,15.95,01/08/2007
North East,E12000001,2007-08,5930,monthly,6.6,01/08/2007
South East,E12000008,2007-08,22453,monthly,10.79,01/08/2007
South West,E12000009,2007-08,13440,monthly,9.23,01/08/2007
West Midlands Region,E12000005,2007-08,10693,monthly,6.34,01/08/2007
London,E12000007,2007-09,13748,monthly,15.87,01/09/2007
North East,E12000001,2007-09,4766,monthly,5.07,01/09/2007
South East,E12000008,2007-09,17077,monthly,10.91,01/09/2007
South West,E12000009,2007-09,10286,monthly,9.69,01/09/2007
West Midlands Region,E12000005,2007-09,8677,monthly,5.33,01/09/2007
London,E12000007,2007-10,13890,monthly,15.22,01/10/2007
North East,E12000001,2007-10,5077,monthly,4.67,01/10/2007
South East,E12000008,2007-10,18164,monthly,11.28,01/10/2007
South West,E12000009,2007-10,10733,monthly,8.03,01/10/2007
West Midlands Region,E12000005,2007-10,9137,monthly,5.68,01/10/2007
London,E12000007,2007-11,13174,monthly,15,01/11/2007
North East,E12000001,2007-11,5193,monthly,6.16,01/11/2007
South East,E12000008,2007-11,17067,monthly,10.24,01/11/2007
South West,E12000009,2007-11,10170,monthly,7.23,01/11/2007
West Midlands Region,E12000005,2007-11,9266,monthly,4.31,01/11/2007
London,E12000007,2007-12,9938,monthly,12.67,01/12/2007
North East,E12000001,2007-12,4126,monthly,3.34,01/12/2007
South East,E12000008,2007-12,13779,monthly,8.07,01/12/2007
South West,E12000009,2007-12,8667,monthly,5.32,01/12/2007
West Midlands Region,E12000005,2007-12,7362,monthly,4.39,01/12/2007
London,E12000007,2008-01,8541,monthly,11.56,01/01/2008
North East,E12000001,2008-01,2800,monthly,2.2,01/01/2008
South East,E12000008,2008-01,9842,monthly,6.69,01/01/2008
South West,E12000009,2008-01,5812,monthly,5.23,01/01/2008
West Midlands Region,E12000005,2008-01,5045,monthly,2.78,01/01/2008
London,E12000007,2008-02,8773,monthly,9.2,01/02/2008
North East,E12000001,2008-02,2919,monthly,2.94,01/02/2008
South East,E12000008,2008-02,10386,monthly,5.43,01/02/2008
South West,E12000009,2008-02,6075,monthly,2.4,01/02/2008
West Midlands Region,E12000005,2008-02,5630,monthly,2.8,01/02/2008
London,E12000007,2008-03,8002,monthly,7.36,01/03/2008
North East,E12000001,2008-03,2952,monthly,1.1,01/03/2008
South East,E12000008,2008-03,9643,monthly,4.93,01/03/2008
South West,E12000009,2008-03,5667,monthly,0.18,01/03/2008
West Midlands Region,E12000005,2008-03,5244,monthly,1.13,01/03/2008
London,E12000007,2008-04,8074,monthly,5.57,01/04/2008
North East,E12000001,2008-04,3098,monthly,0.68,01/04/2008
South East,E12000008,2008-04,10465,monthly,2.36,01/04/2008
South West,E12000009,2008-04,6612,monthly,0.23,01/04/2008
West Midlands Region,E12000005,2008-04,5761,monthly,-1.28,01/04/2008
London,E12000007,2008-05,8075,monthly,4.4,01/05/2008
North East,E12000001,2008-05,3163,monthly,1.06,01/05/2008
South East,E12000008,2008-05,11241,monthly,0.88,01/05/2008
South West,E12000009,2008-05,7034,monthly,-1.19,01/05/2008
West Midlands Region,E12000005,2008-05,5996,monthly,-0.54,01/05/2008
London,E12000007,2008-06,7540,monthly,1.45,01/06/2008
North East,E12000001,2008-06,2827,monthly,-1.59,01/06/2008
South East,E12000008,2008-06,10213,monthly,-1.07,01/06/2008
South West,E12000009,2008-06,6295,monthly,-3.78,01/06/2008
West Midlands Region,E12000005,2008-06,5611,monthly,-1.82,01/06/2008
London,E12000007,2008-07,6935,monthly,-1.84,01/07/2008
North East,E12000001,2008-07,2488,monthly,-5.09,01/07/2008
South East,E12000008,2008-07,9011,monthly,-3.39,01/07/2008
South West,E12000009,2008-07,5618,monthly,-5.72,01/07/2008
West Midlands Region,E12000005,2008-07,4826,monthly,-4.8,01/07/2008
London,E12000007,2008-08,5982,monthly,-5.35,01/08/2008
North East,E12000001,2008-08,2119,monthly,-5.05,01/08/2008
South East,E12000008,2008-08,8965,monthly,-6.56,01/08/2008
South West,E12000009,2008-08,5276,monthly,-8.09,01/08/2008
West Midlands Region,E12000005,2008-08,4395,monthly,-7.23,01/08/2008
London,E12000007,2008-09,5191,monthly,-7.35,01/09/2008
North East,E12000001,2008-09,1954,monthly,-8.23,01/09/2008
South East,E12000008,2008-09,7326,monthly,-9.71,01/09/2008
South West,E12000009,2008-09,4612,monthly,-10.34,01/09/2008
West Midlands Region,E12000005,2008-09,3746,monthly,-8,01/09/2008
London,E12000007,2008-10,5225,monthly,-10.57,01/10/2008
North East,E12000001,2008-10,1999,monthly,-9.78,01/10/2008
South East,E12000008,2008-10,7821,monthly,-12.49,01/10/2008
South West,E12000009,2008-10,5068,monthly,-11.91,01/10/2008
West Midlands Region,E12000005,2008-10,4101,monthly,-10.04,01/10/2008
London,E12000007,2008-11,4078,monthly,-13.1,01/11/2008
North East,E12000001,2008-11,1713,monthly,-10.77,01/11/2008
South East,E12000008,2008-11,6293,monthly,-14.91,01/11/2008
South West,E12000009,2008-11,4088,monthly,-15.08,01/11/2008
West Midlands Region,E12000005,2008-11,3376,monthly,-11.83,01/11/2008
London,E12000007,2008-12,4505,monthly,-14.8,01/12/2008
North East,E12000001,2008-12,1710,monthly,-13.16,01/12/2008
South East,E12000008,2008-12,7110,monthly,-15.5,01/12/2008
South West,E12000009,2008-12,4822,monthly,-16.2,01/12/2008
West Midlands Region,E12000005,2008-12,3472,monthly,-14.13,01/12/2008
London,E12000007,2009-01,3269,monthly,-15.24,01/01/2009
North East,E12000001,2009-01,1138,monthly,-12.34,01/01/2009
South East,E12000008,2009-01,5129,monthly,-17.31,01/01/2009
South West,E12000009,2009-01,3040,monthly,-16.57,01/01/2009
West Midlands Region,E12000005,2009-01,2356,monthly,-13.45,01/01/2009
London,E12000007,2009-02,3251,monthly,-15.51,01/02/2009
North East,E12000001,2009-02,1200,monthly,-13.19,01/02/2009
South East,E12000008,2009-02,4907,monthly,-17.3,01/02/2009
South West,E12000009,2009-02,3286,monthly,-14.96,01/02/2009
West Midlands Region,E12000005,2009-02,2566,monthly,-14.61,01/02/2009
London,E12000007,2009-03,4097,monthly,-15.78,01/03/2009
North East,E12000001,2009-03,1680,monthly,-12.35,01/03/2009
South East,E12000008,2009-03,6482,monthly,-17.78,01/03/2009
South West,E12000009,2009-03,4207,monthly,-15.1,01/03/2009
West Midlands Region,E12000005,2009-03,3224,monthly,-14.63,01/03/2009
London,E12000007,2009-04,4323,monthly,-16.65,01/04/2009
North East,E12000001,2009-04,1708,monthly,-13.01,01/04/2009
South East,E12000008,2009-04,7214,monthly,-16.35,01/04/2009
South West,E12000009,2009-04,4753,monthly,-15.65,01/04/2009
West Midlands Region,E12000005,2009-04,3376,monthly,-14.04,01/04/2009
London,E12000007,2009-05,5011,monthly,-15.3,01/05/2009
North East,E12000001,2009-05,1998,monthly,-12.81,01/05/2009
South East,E12000008,2009-05,8509,monthly,-15.22,01/05/2009
South West,E12000009,2009-05,5754,monthly,-14.38,01/05/2009
West Midlands Region,E12000005,2009-05,3865,monthly,-13.69,01/05/2009
London,E12000007,2009-06,6001,monthly,-12.58,01/06/2009
North East,E12000001,2009-06,2218,monthly,-10.81,01/06/2009
South East,E12000008,2009-06,10151,monthly,-13.04,01/06/2009
South West,E12000009,2009-06,6581,monthly,-10.82,01/06/2009
West Midlands Region,E12000005,2009-06,4470,monthly,-12.63,01/06/2009
London,E12000007,2009-07,7900,monthly,-10.5,01/07/2009
North East,E12000001,2009-07,2277,monthly,-8.58,01/07/2009
South East,E12000008,2009-07,12207,monthly,-11.08,01/07/2009
South West,E12000009,2009-07,7644,monthly,-9.16,01/07/2009
West Midlands Region,E12000005,2009-07,5279,monthly,-7.98,01/07/2009
London,E12000007,2009-08,7548,monthly,-6.97,01/08/2009
North East,E12000001,2009-08,2126,monthly,-6.74,01/08/2009
South East,E12000008,2009-08,11294,monthly,-6.26,01/08/2009
South West,E12000009,2009-08,7145,monthly,-6.4,01/08/2009
West Midlands Region,E12000005,2009-08,4887,monthly,-5.92,01/08/2009
London,E12000007,2009-09,7920,monthly,-3.25,01/09/2009
North East,E12000001,2009-09,2098,monthly,-2.52,01/09/2009
South East,E12000008,2009-09,11320,monthly,-2.67,01/09/2009
South West,E12000009,2009-09,7165,monthly,-3.25,01/09/2009
West Midlands Region,E12000005,2009-09,4779,monthly,-4.51,01/09/2009
London,E12000007,2009-10,8449,monthly,0.67,01/10/2009
North East,E12000001,2009-10,2438,monthly,-1.06,01/10/2009
South East,E12000008,2009-10,12281,monthly,0.71,01/10/2009
South West,E12000009,2009-10,7984,monthly,-0.77,01/10/2009
West Midlands Region,E12000005,2009-10,5648,monthly,-1.24,01/10/2009
London,E12000007,2009-11,7962,monthly,3.17,01/11/2009
North East,E12000001,2009-11,2139,monthly,0.2,01/11/2009
South East,E12000008,2009-11,11681,monthly,4.46,01/11/2009
South West,E12000009,2009-11,7375,monthly,3.45,01/11/2009
West Midlands Region,E12000005,2009-11,5002,monthly,1.01,01/11/2009
London,E12000007,2009-12,9500,monthly,6.4,01/12/2009
North East,E12000001,2009-12,2934,monthly,4.1,01/12/2009
South East,E12000008,2009-12,14941,monthly,5.65,01/12/2009
South West,E12000009,2009-12,9799,monthly,6.58,01/12/2009
West Midlands Region,E12000005,2009-12,6360,monthly,4.55,01/12/2009
London,E12000007,2010-01,6212,monthly,10.52,01/01/2010
North East,E12000001,2010-01,1363,monthly,1.04,01/01/2010
South East,E12000008,2010-01,6601,monthly,12.01,01/01/2010
South West,E12000009,2010-01,3872,monthly,8.6,01/01/2010
West Midlands Region,E12000005,2010-01,2914,monthly,4.59,01/01/2010
London,E12000007,2010-02,6312,monthly,11.57,01/02/2010
North East,E12000001,2010-02,1632,monthly,4.06,01/02/2010
South East,E12000008,2010-02,8008,monthly,13.36,01/02/2010
South West,E12000009,2010-02,4734,monthly,9.16,01/02/2010
West Midlands Region,E12000005,2010-02,3423,monthly,6.48,01/02/2010
London,E12000007,2010-03,7308,monthly,13.43,01/03/2010
North East,E12000001,2010-03,1851,monthly,5.15,01/03/2010
South East,E12000008,2010-03,9308,monthly,13.34,01/03/2010
South West,E12000009,2010-03,5742,monthly,9.8,01/03/2010
West Midlands Region,E12000005,2010-03,4286,monthly,7.1,01/03/2010
London,E12000007,2010-04,7032,monthly,14.93,01/04/2010
North East,E12000001,2010-04,2080,monthly,4.35,01/04/2010
South East,E12000008,2010-04,9428,monthly,13.03,01/04/2010
South West,E12000009,2010-04,6178,monthly,11.18,01/04/2010
West Midlands Region,E12000005,2010-04,4417,monthly,8.6,01/04/2010
London,E12000007,2010-05,7106,monthly,12.71,01/05/2010
North East,E12000001,2010-05,2018,monthly,2.8,01/05/2010
South East,E12000008,2010-05,9441,monthly,12.03,01/05/2010
South West,E12000009,2010-05,6113,monthly,10.52,01/05/2010
West Midlands Region,E12000005,2010-05,4263,monthly,7.34,01/05/2010
London,E12000007,2010-06,8756,monthly,12.2,01/06/2010
North East,E12000001,2010-06,2557,monthly,2.31,01/06/2010
South East,E12000008,2010-06,11478,monthly,11.4,01/06/2010
South West,E12000009,2010-06,7417,monthly,8.6,01/06/2010
West Midlands Region,E12000005,2010-06,5134,monthly,8.12,01/06/2010
London,E12000007,2010-07,9461,monthly,12.69,01/07/2010
North East,E12000001,2010-07,2623,monthly,1.98,01/07/2010
South East,E12000008,2010-07,12572,monthly,10.86,01/07/2010
South West,E12000009,2010-07,7788,monthly,8.16,01/07/2010
West Midlands Region,E12000005,2010-07,5691,monthly,5.24,01/07/2010
London,E12000007,2010-08,8570,monthly,10.9,01/08/2010
North East,E12000001,2010-08,2320,monthly,2.85,01/08/2010
South East,E12000008,2010-08,11769,monthly,8.41,01/08/2010
South West,E12000009,2010-08,7117,monthly,7.87,01/08/2010
West Midlands Region,E12000005,2010-08,5194,monthly,4.12,01/08/2010
London,E12000007,2010-09,8194,monthly,8.45,01/09/2010
North East,E12000001,2010-09,2213,monthly,-1.21,01/09/2010
South East,E12000008,2010-09,10823,monthly,7.24,01/09/2010
South West,E12000009,2010-09,6796,monthly,6.14,01/09/2010
West Midlands Region,E12000005,2010-09,4891,monthly,4.92,01/09/2010
London,E12000007,2010-10,7871,monthly,6.46,01/10/2010
North East,E12000001,2010-10,2331,monthly,1.35,01/10/2010
South East,E12000008,2010-10,10583,monthly,5.13,01/10/2010
South West,E12000009,2010-10,6862,monthly,4.96,01/10/2010
West Midlands Region,E12000005,2010-10,5118,monthly,1.54,01/10/2010
London,E12000007,2010-11,7663,monthly,5.79,01/11/2010
North East,E12000001,2010-11,2095,monthly,-3.11,01/11/2010
South East,E12000008,2010-11,10240,monthly,3.61,01/11/2010
South West,E12000009,2010-11,6509,monthly,3.11,01/11/2010
West Midlands Region,E12000005,2010-11,4768,monthly,2.01,01/11/2010
London,E12000007,2010-12,7448,monthly,5.64,01/12/2010
North East,E12000001,2010-12,2338,monthly,-4.41,01/12/2010
South East,E12000008,2010-12,10343,monthly,3.3,01/12/2010
South West,E12000009,2010-12,6617,monthly,1.56,01/12/2010
West Midlands Region,E12000005,2010-12,4973,monthly,0.11,01/12/2010
London,E12000007,2011-01,5870,monthly,2.95,01/01/2011
North East,E12000001,2011-01,1458,monthly,-2.36,01/01/2011
South East,E12000008,2011-01,6847,monthly,-0.58,01/01/2011
South West,E12000009,2011-01,3992,monthly,0.31,01/01/2011
West Midlands Region,E12000005,2011-01,3144,monthly,0.05,01/01/2011
London,E12000007,2011-02,5796,monthly,2.32,01/02/2011
North East,E12000001,2011-02,1541,monthly,-4.24,01/02/2011
South East,E12000008,2011-02,7278,monthly,-0.07,01/02/2011
South West,E12000009,2011-02,4297,monthly,-0.77,01/02/2011
West Midlands Region,E12000005,2011-02,3347,monthly,-2.03,01/02/2011
London,E12000007,2011-03,6675,monthly,2.36,01/03/2011
North East,E12000001,2011-03,2060,monthly,-6.01,01/03/2011
South East,E12000008,2011-03,8146,monthly,-0.41,01/03/2011
South West,E12000009,2011-03,5123,monthly,-0.48,01/03/2011
West Midlands Region,E12000005,2011-03,4000,monthly,-2.37,01/03/2011
London,E12000007,2011-04,6903,monthly,4.26,01/04/2011
North East,E12000001,2011-04,2157,monthly,-3.22,01/04/2011
South East,E12000008,2011-04,9007,monthly,-0.04,01/04/2011
South West,E12000009,2011-04,5864,monthly,-1.19,01/04/2011
West Midlands Region,E12000005,2011-04,4289,monthly,-2.39,01/04/2011
London,E12000007,2011-05,6460,monthly,1.05,01/05/2011
North East,E12000001,2011-05,2056,monthly,-2.36,01/05/2011
South East,E12000008,2011-05,8827,monthly,-0.84,01/05/2011
South West,E12000009,2011-05,5577,monthly,-2.65,01/05/2011
West Midlands Region,E12000005,2011-05,4121,monthly,-2.52,01/05/2011
London,E12000007,2011-06,7846,monthly,0.48,01/06/2011
North East,E12000001,2011-06,2476,monthly,-3.19,01/06/2011
South East,E12000008,2011-06,10180,monthly,-1.3,01/06/2011
South West,E12000009,2011-06,6522,monthly,-1.96,01/06/2011
West Midlands Region,E12000005,2011-06,5046,monthly,-3.32,01/06/2011
London,E12000007,2011-07,8742,monthly,1.05,01/07/2011
North East,E12000001,2011-07,2514,monthly,-4.65,01/07/2011
South East,E12000008,2011-07,11588,monthly,-1.13,01/07/2011
South West,E12000009,2011-07,6992,monthly,-1.72,01/07/2011
West Midlands Region,E12000005,2011-07,5252,monthly,-3.27,01/07/2011
London,E12000007,2011-08,8998,monthly,1.46,01/08/2011
North East,E12000001,2011-08,2436,monthly,-7.3,01/08/2011
South East,E12000008,2011-08,12033,monthly,-1.69,01/08/2011
South West,E12000009,2011-08,7390,monthly,-2.14,01/08/2011
West Midlands Region,E12000005,2011-08,5272,monthly,-2.97,01/08/2011
London,E12000007,2011-09,8707,monthly,1.81,01/09/2011
North East,E12000001,2011-09,2580,monthly,-4.08,01/09/2011
South East,E12000008,2011-09,11957,monthly,-1.49,01/09/2011
South West,E12000009,2011-09,7280,monthly,-3.22,01/09/2011
West Midlands Region,E12000005,2011-09,5379,monthly,-2.92,01/09/2011
London,E12000007,2011-10,7871,monthly,2.14,01/10/2011
North East,E12000001,2011-10,2261,monthly,-6.86,01/10/2011
South East,E12000008,2011-10,10459,monthly,-1.35,01/10/2011
South West,E12000009,2011-10,6777,monthly,-2.27,01/10/2011
West Midlands Region,E12000005,2011-10,5050,monthly,-2.94,01/10/2011
London,E12000007,2011-11,7956,monthly,3.1,01/11/2011
North East,E12000001,2011-11,2480,monthly,-2.69,01/11/2011
South East,E12000008,2011-11,11216,monthly,-0.04,01/11/2011
South West,E12000009,2011-11,6873,monthly,-1.44,01/11/2011
West Midlands Region,E12000005,2011-11,5200,monthly,-2.24,01/11/2011
London,E12000007,2011-12,8217,monthly,2.43,01/12/2011
North East,E12000001,2011-12,2618,monthly,-3.64,01/12/2011
South East,E12000008,2011-12,11844,monthly,0.33,01/12/2011
South West,E12000009,2011-12,7314,monthly,-1.22,01/12/2011
West Midlands Region,E12000005,2011-12,5634,monthly,-3.3,01/12/2011
London,E12000007,2012-01,6531,monthly,2.21,01/01/2012
North East,E12000001,2012-01,1694,monthly,-3.5,01/01/2012
South East,E12000008,2012-01,8014,monthly,0.45,01/01/2012
South West,E12000009,2012-01,5096,monthly,0.5,01/01/2012
West Midlands Region,E12000005,2012-01,3688,monthly,-0.97,01/01/2012
London,E12000007,2012-02,6659,monthly,2.51,01/02/2012
North East,E12000001,2012-02,1640,monthly,-2.53,01/02/2012
South East,E12000008,2012-02,8297,monthly,0.6,01/02/2012
South West,E12000009,2012-02,5198,monthly,1.06,01/02/2012
West Midlands Region,E12000005,2012-02,3769,monthly,-0.6,01/02/2012
London,E12000007,2012-03,9099,monthly,1.14,01/03/2012
North East,E12000001,2012-03,2368,monthly,0.79,01/03/2012
South East,E12000008,2012-03,11451,monthly,1.54,01/03/2012
South West,E12000009,2012-03,6908,monthly,0.26,01/03/2012
West Midlands Region,E12000005,2012-03,5350,monthly,1.1,01/03/2012
London,E12000007,2012-04,5961,monthly,1.73,01/04/2012
North East,E12000001,2012-04,1795,monthly,-2.85,01/04/2012
South East,E12000008,2012-04,7533,monthly,2.31,01/04/2012
South West,E12000009,2012-04,4890,monthly,1.42,01/04/2012
West Midlands Region,E12000005,2012-04,3737,monthly,-0.74,01/04/2012
London,E12000007,2012-05,7374,monthly,6.8,01/05/2012
North East,E12000001,2012-05,2160,monthly,-3.65,01/05/2012
South East,E12000008,2012-05,9560,monthly,2.26,01/05/2012
South West,E12000009,2012-05,5929,monthly,1.58,01/05/2012
West Midlands Region,E12000005,2012-05,4490,monthly,-1.07,01/05/2012
London,E12000007,2012-06,8132,monthly,7.32,01/06/2012
North East,E12000001,2012-06,2579,monthly,-1.86,01/06/2012
South East,E12000008,2012-06,10728,monthly,2.38,01/06/2012
South West,E12000009,2012-06,6715,monthly,1.22,01/06/2012
West Midlands Region,E12000005,2012-06,5205,monthly,1.31,01/06/2012
London,E12000007,2012-07,8751,monthly,4.43,01/07/2012
North East,E12000001,2012-07,2104,monthly,-0.41,01/07/2012
South East,E12000008,2012-07,11204,monthly,2.15,01/07/2012
South West,E12000009,2012-07,6815,monthly,1.18,01/07/2012
West Midlands Region,E12000005,2012-07,4909,monthly,0.83,01/07/2012
London,E12000007,2012-08,9073,monthly,5.13,01/08/2012
North East,E12000001,2012-08,2458,monthly,2.38,01/08/2012
South East,E12000008,2012-08,12557,monthly,3.41,01/08/2012
South West,E12000009,2012-08,7640,monthly,0.04,01/08/2012
West Midlands Region,E12000005,2012-08,5469,monthly,0.83,01/08/2012
London,E12000007,2012-09,7906,monthly,4.44,01/09/2012
North East,E12000001,2012-09,2015,monthly,0.82,01/09/2012
South East,E12000008,2012-09,10140,monthly,3.26,01/09/2012
South West,E12000009,2012-09,6017,monthly,1.15,01/09/2012
West Midlands Region,E12000005,2012-09,4382,monthly,-0.29,01/09/2012
London,E12000007,2012-10,8146,monthly,6.16,01/10/2012
North East,E12000001,2012-10,2361,monthly,0.53,01/10/2012
South East,E12000008,2012-10,10976,monthly,3.03,01/10/2012
South West,E12000009,2012-10,6771,monthly,1.08,01/10/2012
West Midlands Region,E12000005,2012-10,4927,monthly,0.62,01/10/2012
London,E12000007,2012-11,8626,monthly,6.01,01/11/2012
North East,E12000001,2012-11,2502,monthly,-0.21,01/11/2012
South East,E12000008,2012-11,11577,monthly,2.2,01/11/2012
South West,E12000009,2012-11,7187,monthly,1.32,01/11/2012
West Midlands Region,E12000005,2012-11,5706,monthly,0.8,01/11/2012
London,E12000007,2012-12,7601,monthly,7.34,01/12/2012
North East,E12000001,2012-12,2354,monthly,-0.41,01/12/2012
South East,E12000008,2012-12,10312,monthly,2.96,01/12/2012
South West,E12000009,2012-12,6484,monthly,0.25,01/12/2012
West Midlands Region,E12000005,2012-12,4820,monthly,2.62,01/12/2012
London,E12000007,2013-01,6834,monthly,5.78,01/01/2013
North East,E12000001,2013-01,1582,monthly,0.51,01/01/2013
South East,E12000008,2013-01,8108,monthly,3.47,01/01/2013
South West,E12000009,2013-01,4677,monthly,-0.06,01/01/2013
West Midlands Region,E12000005,2013-01,3526,monthly,-0.05,01/01/2013
London,E12000007,2013-02,6693,monthly,7.24,01/02/2013
North East,E12000001,2013-02,1697,monthly,-1.62,01/02/2013
South East,E12000008,2013-02,8163,monthly,2.46,01/02/2013
South West,E12000009,2013-02,4943,monthly,-0.22,01/02/2013
West Midlands Region,E12000005,2013-02,4023,monthly,1.29,01/02/2013
London,E12000007,2013-03,7663,monthly,7.55,01/03/2013
North East,E12000001,2013-03,2212,monthly,-1.25,01/03/2013
South East,E12000008,2013-03,9491,monthly,2.83,01/03/2013
South West,E12000009,2013-03,5972,monthly,1.28,01/03/2013
West Midlands Region,E12000005,2013-03,4742,monthly,0.83,01/03/2013
London,E12000007,2013-04,7388,monthly,7.31,01/04/2013
North East,E12000001,2013-04,2016,monthly,-0.6,01/04/2013
South East,E12000008,2013-04,9101,monthly,2.08,01/04/2013
South West,E12000009,2013-04,5652,monthly,1.26,01/04/2013
West Midlands Region,E12000005,2013-04,4243,monthly,1.27,01/04/2013
London,E12000007,2013-05,9010,monthly,6,01/05/2013
North East,E12000001,2013-05,2618,monthly,0.21,01/05/2013
South East,E12000008,2013-05,11770,monthly,2.16,01/05/2013
South West,E12000009,2013-05,7337,monthly,1.3,01/05/2013
West Midlands Region,E12000005,2013-05,5653,monthly,2.21,01/05/2013
London,E12000007,2013-06,8930,monthly,5.77,01/06/2013
North East,E12000001,2013-06,2764,monthly,-1.53,01/06/2013
South East,E12000008,2013-06,11961,monthly,2.94,01/06/2013
South West,E12000009,2013-06,7521,monthly,0.76,01/06/2013
West Midlands Region,E12000005,2013-06,5778,monthly,1.18,01/06/2013
London,E12000007,2013-07,10889,monthly,7.78,01/07/2013
North East,E12000001,2013-07,2698,monthly,1.22,01/07/2013
South East,E12000008,2013-07,13795,monthly,3.08,01/07/2013
South West,E12000009,2013-07,8260,monthly,0.79,01/07/2013
West Midlands Region,E12000005,2013-07,6106,monthly,2,01/07/2013
London,E12000007,2013-08,11153,monthly,8.29,01/08/2013
North East,E12000001,2013-08,2870,monthly,0.39,01/08/2013
South East,E12000008,2013-08,15122,monthly,2.92,01/08/2013
South West,E12000009,2013-08,9214,monthly,2.33,01/08/2013
West Midlands Region,E12000005,2013-08,6634,monthly,2.89,01/08/2013
London,E12000007,2013-09,10276,monthly,10.38,01/09/2013
North East,E12000001,2013-09,2651,monthly,0.8,01/09/2013
South East,E12000008,2013-09,13167,monthly,2.93,01/09/2013
South West,E12000009,2013-09,8118,monthly,3.33,01/09/2013
West Midlands Region,E12000005,2013-09,5689,monthly,1.76,01/09/2013
London,E12000007,2013-10,10935,monthly,9.59,01/10/2013
North East,E12000001,2013-10,2933,monthly,-3.41,01/10/2013
South East,E12000008,2013-10,14569,monthly,4.62,01/10/2013
South West,E12000009,2013-10,9061,monthly,2.83,01/10/2013
West Midlands Region,E12000005,2013-10,6806,monthly,3.75,01/10/2013
London,E12000007,2013-11,11427,monthly,11.41,01/11/2013
North East,E12000001,2013-11,3237,monthly,-0.28,01/11/2013
South East,E12000008,2013-11,15099,monthly,5.64,01/11/2013
South West,E12000009,2013-11,9815,monthly,3.16,01/11/2013
West Midlands Region,E12000005,2013-11,7378,monthly,3.07,01/11/2013
London,E12000007,2013-12,10775,monthly,12.2,01/12/2013
North East,E12000001,2013-12,3277,monthly,1.23,01/12/2013
South East,E12000008,2013-12,14971,monthly,5.8,01/12/2013
South West,E12000009,2013-12,9321,monthly,5.7,01/12/2013
West Midlands Region,E12000005,2013-12,6957,monthly,3.14,01/12/2013
London,E12000007,2014-01,9966,monthly,14.28,01/01/2014
North East,E12000001,2014-01,2614,monthly,0.83,01/01/2014
South East,E12000008,2014-01,12253,monthly,6.99,01/01/2014
South West,E12000009,2014-01,7412,monthly,4.44,01/01/2014
West Midlands Region,E12000005,2014-01,5627,monthly,4.93,01/01/2014
London,E12000007,2014-02,9363,monthly,14.14,01/02/2014
North East,E12000001,2014-02,2467,monthly,2.48,01/02/2014
South East,E12000008,2014-02,12002,monthly,7.8,01/02/2014
South West,E12000009,2014-02,7672,monthly,5.15,01/02/2014
West Midlands Region,E12000005,2014-02,5806,monthly,3.97,01/02/2014
London,E12000007,2014-03,9537,monthly,15.73,01/03/2014
North East,E12000001,2014-03,2830,monthly,1,01/03/2014
South East,E12000008,2014-03,12484,monthly,8.02,01/03/2014
South West,E12000009,2014-03,7494,monthly,5.31,01/03/2014
West Midlands Region,E12000005,2014-03,6048,monthly,4.95,01/03/2014
London,E12000007,2014-04,9809,monthly,16.96,01/04/2014
North East,E12000001,2014-04,2845,monthly,2.59,01/04/2014
South East,E12000008,2014-04,12835,monthly,8.45,01/04/2014
South West,E12000009,2014-04,8260,monthly,5.56,01/04/2014
West Midlands Region,E12000005,2014-04,6131,monthly,6.1,01/04/2014
London,E12000007,2014-05,10155,monthly,18.73,01/05/2014
North East,E12000001,2014-05,3236,monthly,2.39,01/05/2014
South East,E12000008,2014-05,13967,monthly,10.1,01/05/2014
South West,E12000009,2014-05,8813,monthly,5.83,01/05/2014
West Midlands Region,E12000005,2014-05,7067,monthly,5.71,01/05/2014
London,E12000007,2014-06,10486,monthly,19.31,01/06/2014
North East,E12000001,2014-06,3539,monthly,4.82,01/06/2014
South East,E12000008,2014-06,14673,monthly,9.72,01/06/2014
